Source,Destination,Length,Anomaly,File
3232240707,3758096635,338,Normal,esp32_20.pcap
3232240707,3758096635,183,Normal,esp32_20.pcap
3232240707,3232240895,114,Normal,esp32_20.pcap
3232240707,3232240895,114,Normal,esp32_20.pcap
3232240658,3758096635,553,Normal,esp32_20.pcap
3232240707,3758096635,338,Normal,esp32_20.pcap
3232240707,3758096635,197,Normal,esp32_20.pcap
3232240707,3758096635,1346,Normal,esp32_20.pcap
3232240707,3232240895,114,Normal,esp32_20.pcap
3232240707,3232240895,114,Normal,esp32_20.pcap
3232240707,3758096635,172,Normal,esp32_20.pcap
3232240648,3232240895,108,Normal,esp32_20.pcap
3232240707,3758096635,532,Normal,esp32_20.pcap
3232240711,3758096635,500,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240707,3758096635,1346,Normal,esp32_20.pcap
3232240688,3758096635,134,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240707,3232240895,132,Normal,esp32_20.pcap
3232240658,3758096635,460,Normal,esp32_20.pcap
3232240688,3758096635,134,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240688,3758096635,151,Normal,esp32_20.pcap
3232240659,3758096635,166,Normal,esp32_20.pcap
3232240690,3758096635,122,Normal,esp32_20.pcap
3232240686,3758096635,361,Normal,esp32_20.pcap
3232240644,3758096635,460,Normal,esp32_20.pcap
3232240690,3758096635,122,Normal,esp32_20.pcap
3232240659,3758096635,588,Normal,esp32_20.pcap
3232240711,3232240895,114,Normal,esp32_20.pcap
3232240699,3758096635,250,Normal,esp32_20.pcap
3232240688,3758096635,98,Normal,esp32_20.pcap
3232240707,3758096635,1322,Normal,esp32_20.pcap
3232240707,3758096635,436,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240699,3758096635,367,Normal,esp32_20.pcap
3232240688,3758096635,127,Normal,esp32_20.pcap
3232240707,3758096635,171,Normal,esp32_20.pcap
3232240711,3758096635,764,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240686,3758096635,445,Normal,esp32_20.pcap
3232240699,3758096635,246,Normal,esp32_20.pcap
3232240699,3758096635,250,Normal,esp32_20.pcap
3232240688,3758096635,98,Normal,esp32_20.pcap
3232240663,3232240895,108,Normal,esp32_20.pcap
3232240711,3232240895,114,Normal,esp32_20.pcap
3232240699,3758096635,367,Normal,esp32_20.pcap
3232240680,4026531834,239,Normal,esp32_20.pcap
3232240694,3232240895,114,Normal,esp32_20.pcap
3232240659,3758096635,588,Normal,esp32_20.pcap
3232240703,3232240895,114,Normal,esp32_20.pcap
3232240691,3232240895,114,Normal,esp32_20.pcap
3232240691,3232240895,114,Normal,esp32_20.pcap
3232240691,4026531834,240,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240663,3232240895,114,Normal,esp32_20.pcap
3232240663,3232240895,114,Normal,esp32_20.pcap
4526591,4269801472,153,Anomaly,esp32_20.pcap
3232240703,3232240895,114,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240663,3232240895,114,Normal,esp32_20.pcap
3232240663,3232240895,114,Normal,esp32_20.pcap
3232240691,3232240895,114,Normal,esp32_20.pcap
3232240691,3232240895,114,Normal,esp32_20.pcap
3232240711,3758096635,710,Normal,esp32_20.pcap
3232240691,4026531834,240,Normal,esp32_20.pcap
3232240680,4026531834,239,Normal,esp32_20.pcap
3232240708,3758096635,699,Normal,esp32_20.pcap
3232240711,3758096635,710,Normal,esp32_20.pcap
3232240691,4026531834,240,Normal,esp32_20.pcap
3232240707,3758096635,523,Normal,esp32_20.pcap
3232240680,4026531834,239,Normal,esp32_20.pcap
3232240690,3758096635,421,Normal,esp32_20.pcap
3232240681,3758096635,405,Normal,esp32_20.pcap
3232240707,3758096635,523,Normal,esp32_20.pcap
3232240681,3758096635,445,Normal,esp32_20.pcap
4526591,4269801472,153,Anomaly,esp32_20.pcap
3232240711,3758096635,204,Normal,esp32_20.pcap
3232240705,3758096636,97,Normal,esp32_20.pcap
3232240699,3758096635,367,Normal,esp32_20.pcap
3232240705,4026531834,239,Normal,esp32_20.pcap
3232240705,3758096635,103,Normal,esp32_20.pcap
3232240705,3758096635,141,Normal,esp32_20.pcap
3232240705,3758096636,97,Normal,esp32_20.pcap
3232240699,3758096635,246,Normal,esp32_20.pcap
3232240690,3758096635,339,Normal,esp32_20.pcap
3232240699,3758096635,246,Normal,esp32_20.pcap
3232240699,3758096635,250,Normal,esp32_20.pcap
3232240707,3758096635,523,Normal,esp32_20.pcap
3232240711,3758096635,493,Normal,esp32_20.pcap
3232240699,3758096635,803,Normal,esp32_20.pcap
3232240705,3232240895,132,Normal,esp32_20.pcap
3232240705,3232240895,132,Normal,esp32_20.pcap
3232240705,3232240895,132,Normal,esp32_20.pcap
3232240659,3758096635,159,Normal,esp32_20.pcap
3232240699,3758096635,367,Normal,esp32_20.pcap
3232240705,4026531834,239,Normal,esp32_20.pcap
3232240705,3232240895,132,Normal,esp32_20.pcap
3232240659,3758096635,159,Normal,esp32_20.pcap
3232240660,3758096635,460,Normal,esp32_20.pcap
3232240683,3758096635,253,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240683,3758096635,192,Normal,esp32_20.pcap
3232240683,3758096635,253,Normal,esp32_20.pcap
3232240699,3758096635,201,Normal,esp32_20.pcap
3232240683,3758096635,930,Normal,esp32_20.pcap
3232240683,3758096635,178,Normal,esp32_20.pcap
3232240683,3758096635,253,Normal,esp32_20.pcap
3232240683,3758096635,846,Normal,esp32_20.pcap
3232240683,3758096635,178,Normal,esp32_20.pcap
3232240660,3758096635,460,Normal,esp32_20.pcap
3232240683,4026531834,240,Normal,esp32_20.pcap
3232240681,3758096635,146,Normal,esp32_20.pcap
3232240658,3758096635,395,Normal,esp32_20.pcap
3232240658,3758096635,460,Normal,esp32_20.pcap
3232240707,3758096635,172,Normal,esp32_20.pcap
3232240659,3758096635,145,Normal,esp32_20.pcap
3232240683,4026531834,240,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240692,3758096635,146,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240683,3758096635,1405,Normal,esp32_20.pcap
3232240686,3758096635,146,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_20.pcap
3232240644,3758096635,460,Normal,esp32_20.pcap
3232240693,3232240895,114,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240648,4026531834,235,Normal,esp32_20.pcap
3232240707,3758096635,317,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240678,3758096635,134,Normal,esp32_20.pcap
3232240688,3758096635,138,Normal,esp32_20.pcap
3232240707,3758096635,317,Normal,esp32_20.pcap
3232240688,3758096635,134,Normal,esp32_20.pcap
3232240691,3758096635,153,Normal,esp32_20.pcap
3232240663,3232240895,108,Normal,esp32_20.pcap
3232240648,4026531834,235,Normal,esp32_20.pcap
3232240707,3758096635,317,Normal,esp32_20.pcap
3232240688,3758096635,134,Normal,esp32_20.pcap
3232240707,3758096635,178,Normal,esp32_20.pcap
3232240678,3758096635,445,Normal,esp32_20.pcap
3232240688,3758096635,138,Normal,esp32_20.pcap
3232240648,4026531834,235,Normal,esp32_20.pcap
3232240658,3758096635,460,Normal,esp32_20.pcap
3232240688,3758096635,138,Normal,esp32_20.pcap
3232240660,3758096635,420,Normal,esp32_20.pcap
3232240688,3758096635,138,Normal,esp32_20.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
4526591,4269801472,153,Normal,esp32_11.pcap
3232240648,4026531834,235,Normal,esp32_11.pcap
3232240700,3232240895,114,Normal,esp32_11.pcap
3232240648,4026531834,235,Normal,esp32_11.pcap
3232240700,3232240895,132,Normal,esp32_11.pcap
3232240648,3758096635,99,Normal,esp32_11.pcap
3232240663,4026531834,235,Normal,esp32_11.pcap
3232240700,3232240895,132,Normal,esp32_11.pcap
3232240648,3758096635,99,Normal,esp32_11.pcap
3232240700,3758096635,384,Normal,esp32_11.pcap
3232240663,4026531834,235,Normal,esp32_11.pcap
3232240663,4026531834,235,Normal,esp32_11.pcap
3232240700,3758096635,384,Normal,esp32_11.pcap
3232240688,3758096635,136,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240644,3758096635,286,Normal,esp32_11.pcap
3232240688,3758096635,138,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240644,3758096635,286,Normal,esp32_11.pcap
3232240688,3758096635,138,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,4026531834,239,Normal,esp32_11.pcap
3232240693,4026531834,239,Normal,esp32_11.pcap
3232240693,4026531834,239,Normal,esp32_11.pcap
3232240693,4026531834,239,Normal,esp32_11.pcap
3232240693,4026531834,239,Normal,esp32_11.pcap
3232240690,3758096635,247,Normal,esp32_11.pcap
3232240688,4026531834,239,Normal,esp32_11.pcap
3232240671,3758096635,1025,Normal,esp32_11.pcap
3232240691,3758096635,1260,Normal,esp32_11.pcap
3232240683,3758096635,130,Normal,esp32_11.pcap
3232240683,3758096635,1253,Normal,esp32_11.pcap
3232240675,4026531834,239,Normal,esp32_11.pcap
3232240663,3232240895,108,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240683,3758096635,1317,Normal,esp32_11.pcap
3232240683,3758096635,1019,Normal,esp32_11.pcap
3232240701,3758096635,271,Normal,esp32_11.pcap
3232240683,3758096635,178,Normal,esp32_11.pcap
3232240675,4026531834,239,Normal,esp32_11.pcap
3232240675,4026531834,239,Normal,esp32_11.pcap
3232240683,3758096635,315,Normal,esp32_11.pcap
3232240683,3758096635,846,Normal,esp32_11.pcap
3232240683,3758096635,178,Normal,esp32_11.pcap
3232240683,3232240895,132,Normal,esp32_11.pcap
3232240683,3232240895,114,Normal,esp32_11.pcap
3232240690,3758096635,281,Normal,esp32_11.pcap
3232240683,3232240895,132,Normal,esp32_11.pcap
3232240683,3758096635,1149,Normal,esp32_11.pcap
3232240663,3758096635,109,Normal,esp32_11.pcap
4526591,4269801472,153,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240664,4026531834,197,Normal,esp32_11.pcap
3232240664,4026531834,191,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240693,3232240895,114,Normal,esp32_11.pcap
3232240693,3758096635,98,Normal,esp32_11.pcap
3232240687,3758096635,676,Normal,esp32_2.pcap
3232240687,3758096635,676,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240648,3758096635,99,Normal,esp32_2.pcap
3232240686,3758096635,340,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240692,3758096635,340,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240671,4026531834,239,Normal,esp32_2.pcap
3232240671,4026531834,239,Normal,esp32_2.pcap
3232240685,3758096635,125,Normal,esp32_2.pcap
3232240671,4026531834,239,Normal,esp32_2.pcap
3232240671,4026531834,239,Normal,esp32_2.pcap
3232240671,4026531834,239,Normal,esp32_2.pcap
3232240693,3758096635,97,Normal,esp32_2.pcap
3232240693,3758096635,97,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240693,3758096635,97,Normal,esp32_2.pcap
3232240693,3758096635,97,Normal,esp32_2.pcap
3232240692,3758096635,146,Normal,esp32_2.pcap
3232240692,3758096635,305,Normal,esp32_2.pcap
3232240691,3758096635,153,Normal,esp32_2.pcap
3232240644,3758096635,355,Normal,esp32_2.pcap
3232240688,3758096635,129,Normal,esp32_2.pcap
3232240683,4026531834,240,Normal,esp32_2.pcap
3232240687,4026531834,240,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240683,3232240895,114,Normal,esp32_2.pcap
3232240683,3232240895,114,Normal,esp32_2.pcap
3232240683,4026531834,240,Normal,esp32_2.pcap
3232240663,3232240895,114,Normal,esp32_2.pcap
3232240691,3232240895,114,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240681,3758096635,146,Normal,esp32_2.pcap
3232240693,3232240895,114,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240693,3758096635,98,Normal,esp32_2.pcap
3232240691,4026531834,240,Normal,esp32_2.pcap
3232240681,3758096635,340,Normal,esp32_2.pcap
3232240688,3758096635,138,Normal,esp32_2.pcap
3232240691,3758096635,153,Normal,esp32_2.pcap
3232240680,4026531834,239,Normal,esp32_2.pcap
3232240691,4026531834,240,Normal,esp32_2.pcap
3232240680,4026531834,239,Normal,esp32_2.pcap
3232240692,3758096635,146,Normal,esp32_2.pcap
3232240686,3758096635,146,Normal,esp32_2.pcap
3232240644,3758096635,355,Normal,esp32_2.pcap
3232240692,3758096635,340,Normal,esp32_2.pcap
3232240648,3232240895,108,Anomaly,esp32_2.pcap
3232240683,3758096635,477,Normal,esp32_2.pcap
3232240699,3758096635,250,Normal,esp32_19.pcap
3232240699,3758096635,161,Normal,esp32_19.pcap
3232240699,3758096635,367,Normal,esp32_19.pcap
3232240701,3758096635,146,Normal,esp32_19.pcap
3232240699,3758096635,719,Normal,esp32_19.pcap
3232240703,3758096635,105,Normal,esp32_19.pcap
3232240701,3758096635,403,Normal,esp32_19.pcap
3232240703,3758096635,101,Normal,esp32_19.pcap
3232240699,3758096635,201,Normal,esp32_19.pcap
3232240707,3232240895,114,Normal,esp32_19.pcap
3232240707,3232240895,132,Normal,esp32_19.pcap
3232240691,3232240895,114,Normal,esp32_19.pcap
3232240691,3232240895,114,Normal,esp32_19.pcap
3232240663,3232240895,114,Normal,esp32_19.pcap
3232240663,3232240895,114,Normal,esp32_19.pcap
3232240663,4026531834,235,Normal,esp32_19.pcap
3232240690,3758096635,379,Normal,esp32_19.pcap
3232240703,3758096635,120,Normal,esp32_19.pcap
3232240710,3758096635,403,Normal,esp32_19.pcap
3232240703,4026531834,229,Normal,esp32_19.pcap
3232240707,4026531834,229,Normal,esp32_19.pcap
3232240699,3758096635,367,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240694,3758096635,101,Normal,esp32_19.pcap
3232240699,3758096635,639,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240703,3758096635,262,Normal,esp32_19.pcap
3232240703,4026531834,229,Normal,esp32_19.pcap
3232240703,4026531834,240,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240694,4026531834,240,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240694,4026531834,240,Normal,esp32_19.pcap
3232240693,4026531834,239,Normal,esp32_19.pcap
3232240693,4026531834,239,Normal,esp32_19.pcap
3232240688,4026531834,239,Normal,esp32_19.pcap
3232240688,4026531834,239,Normal,esp32_19.pcap
3232240688,4026531834,239,Normal,esp32_19.pcap
3232240688,4026531834,239,Normal,esp32_19.pcap
3232240648,3758096635,108,Normal,esp32_19.pcap
3232240693,4026531834,239,Normal,esp32_19.pcap
3232240648,4026531834,189,Normal,esp32_19.pcap
3232240648,3758096635,109,Normal,esp32_19.pcap
3232240675,4026531834,239,Normal,esp32_19.pcap
3232240675,4026531834,239,Normal,esp32_19.pcap
3232240675,4026531834,239,Normal,esp32_19.pcap
3232240644,3758096635,161,Normal,esp32_19.pcap
3232240675,4026531834,239,Normal,esp32_19.pcap
3232240675,4026531834,239,Normal,esp32_19.pcap
3232240706,3758096635,127,Normal,esp32_19.pcap
3232240671,3758096635,464,Normal,esp32_19.pcap
3232240705,4026531834,239,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3758096635,93,Normal,esp32_19.pcap
3232240693,3758096635,93,Normal,esp32_19.pcap
3232240690,3758096635,339,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240708,3758096635,226,Normal,esp32_19.pcap
3232240708,3758096635,130,Normal,esp32_19.pcap
3232240708,3758096635,284,Normal,esp32_19.pcap
3232240663,3232240895,108,Normal,esp32_19.pcap
3232240708,4026531834,230,Normal,esp32_19.pcap
3232240708,3758096635,541,Normal,esp32_19.pcap
3232240708,3758096635,226,Normal,esp32_19.pcap
3232240708,3758096635,235,Normal,esp32_19.pcap
3232240708,3758096635,284,Normal,esp32_19.pcap
3232240708,4026531834,230,Normal,esp32_19.pcap
3232240708,4026531834,230,Normal,esp32_19.pcap
3232240691,3758096635,242,Normal,esp32_19.pcap
3232240663,3758096635,250,Normal,esp32_19.pcap
3232240711,3758096635,545,Normal,esp32_19.pcap
3232240708,3758096635,142,Normal,esp32_19.pcap
3232240663,3758096635,223,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240671,3758096635,233,Normal,esp32_19.pcap
3232240708,4026531834,230,Normal,esp32_19.pcap
3232240708,3758096635,137,Normal,esp32_19.pcap
3232240687,3758096635,289,Normal,esp32_19.pcap
3232240687,3758096635,308,Normal,esp32_19.pcap
3232240711,3758096635,1334,Anomaly,esp32_19.pcap
3232240663,4026531834,189,Normal,esp32_19.pcap
3232240687,3758096635,308,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240687,3758096635,308,Normal,esp32_19.pcap
3232240687,3758096635,1012,Normal,esp32_19.pcap
3232240711,3758096635,1334,Anomaly,esp32_19.pcap
3232240687,3758096635,289,Normal,esp32_19.pcap
3232240691,3232240895,114,Normal,esp32_19.pcap
3232240691,3232240895,114,Normal,esp32_19.pcap
3232240703,3232240895,114,Normal,esp32_19.pcap
3232240663,3232240895,114,Normal,esp32_19.pcap
3232240663,3232240895,114,Normal,esp32_19.pcap
3232240694,3232240895,114,Normal,esp32_19.pcap
3232240708,3758096635,659,Normal,esp32_19.pcap
3232240644,3758096635,420,Normal,esp32_19.pcap
3232240711,3758096635,670,Normal,esp32_19.pcap
3232240687,3758096635,213,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240701,3758096635,405,Normal,esp32_19.pcap
3232240710,3758096635,146,Normal,esp32_19.pcap
3232240691,3758096635,480,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240710,3758096635,363,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240681,3758096635,405,Normal,esp32_19.pcap
3232240693,3232240895,114,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240693,3758096635,98,Normal,esp32_19.pcap
3232240671,4026531834,239,Normal,esp32_19.pcap
3232240694,3758096635,101,Normal,esp32_19.pcap
3232240658,3758096635,251,Normal,esp32_19.pcap
3232240658,3758096635,251,Normal,esp32_19.pcap
3232240671,4026531834,239,Normal,esp32_19.pcap
3232240658,3758096635,395,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240658,3758096635,255,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240712,3232240895,132,Normal,esp32_19.pcap
3232240648,3758096635,97,Normal,esp32_24.pcap
3232240707,3758096635,172,Normal,esp32_24.pcap
3232240693,3232240895,114,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3232240895,114,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240714,3758096635,382,Normal,esp32_24.pcap
3232240693,3232240895,114,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3232240895,114,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3758096635,98,Normal,esp32_24.pcap
3232240693,3232240895,114,Normal,esp32_24.pcap
3232240691,4026531834,240,Normal,esp32_24.pcap
3232240680,4026531834,239,Normal,esp32_24.pcap
3232240648,3758096635,108,Normal,esp32_24.pcap
3232240648,3232240895,108,Normal,esp32_24.pcap
